#Freq(Hz)	Mag(strain/ct)	Phase(rad)
6.4219	5.0658e-014	-1.27
6.4375	4.9926e-014	-1.2715
6.4531	4.919e-014	-1.2725
6.4688	4.8489e-014	-1.274
6.4844	4.7828e-014	-1.2765
6.5	4.7115e-014	-1.277
6.5156	4.6431e-014	-1.2781
6.5313	4.5799e-014	-1.2804
6.5469	4.5121e-014	-1.2808
6.5625	4.4479e-014	-1.2821
6.5781	4.385e-014	-1.2834
6.5938	4.3228e-014	-1.2846
6.6094	4.2608e-014	-1.2855
6.625	4.2028e-014	-1.2874
6.6406	4.1414e-014	-1.2877
6.6563	4.0831e-014	-1.2888
6.6719	4.0272e-014	-1.2904
6.6875	3.9692e-014	-1.2908
6.7031	3.9146e-014	-1.2923
6.7188	3.8595e-014	-1.293
6.7344	3.8061e-014	-1.2941
6.75	3.7566e-014	-1.2966
6.7656	3.7026e-014	-1.2966
6.7813	3.6513e-014	-1.2975
6.7969	3.5971e-014	-1.2968
6.8125	3.5504e-014	-1.2989
6.8281	3.5025e-014	-1.3002
6.8438	3.4568e-014	-1.3021
6.8594	3.4061e-014	-1.3013
6.875	3.3621e-014	-1.3034
6.8906	3.3149e-014	-1.3034
6.9063	3.2683e-014	-1.3034
6.9219	3.2253e-014	-1.3049
6.9375	3.1808e-014	-1.3051
6.9531	3.1379e-014	-1.3059
6.9688	3.0962e-014	-1.3069
6.9844	3.0543e-014	-1.3074
7	3.0145e-014	-1.3087
7.0156	2.9727e-014	-1.3086
7.0313	2.9337e-014	-1.3096
7.0469	2.8954e-014	-1.3107
7.0625	2.8575e-014	-1.3117
7.0781	2.82e-014	-1.3125
7.0938	2.782e-014	-1.3126
7.1094	2.7434e-014	-1.312
7.125	2.7084e-014	-1.3133
7.1406	2.6736e-014	-1.3144
7.1563	2.6384e-014	-1.3148
7.1719	2.6026e-014	-1.3145
7.1875	2.5696e-014	-1.3157
7.2031	2.535e-014	-1.3153
7.2188	2.5019e-014	-1.3157
7.2344	2.4704e-014	-1.3168
7.25	2.4401e-014	-1.3185
7.2656	2.4062e-014	-1.3171
7.2813	2.3758e-014	-1.318
7.2969	2.3447e-014	-1.318
7.3125	2.3142e-014	-1.318
7.3281	2.285e-014	-1.3187
7.3438	2.255e-014	-1.3184
7.3594	2.2281e-014	-1.3203
