# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
ESO179-013   +16:47.3  -57:26.5   8916.7   0.265  1.0
PGC086265    +09:50.3  +31:27.3   8916.7   0.002  1.0
PGC732721    +23:02.7  -29:09.1   8944.4   0.001  1.0
PGC2791980   +09:45.4  -48:08.5   8972.2   0.016  1.0
NGC2537      +08:09.7  +46:09.0   9000.0   0.175  1.0
UGC5423      +10:01.4  +70:37.0   9000.0   0.016  1.0
IC4870       +19:37.6  -65:48.7   9027.8   0.058  1.0
ESO497-004   +09:03.0  -23:48.4   9041.7   0.033  1.0
ESO359-029   +04:12.8  -33:00.1   9069.4   0.022  1.0
PGC701288    +03:28.3  -31:46.2   9083.3   0.002  1.0
NGC1058      +02:40.2  +37:08.0   9100.0   0.219  1.0
NGC925       +02:27.1  +33:34.4   9120.0   1.20   1.0 
PGC1427448   +01:42.1  +13:17.6   9138.9   0.001  1.0
UGC08061     +12:56.7  +11:55.9   9152.8   0.004  1.0
ESO358-054   +03:43.0  -36:16.4   9166.7   0.039  1.0
ESO270-017   +13:34.7  -45:32.8   9194.4   1.169  1.0
IC3521       +12:34.6  +07:09.6   9194.4   0.052  1.0
UGC12632     +23:27.6  +40:43.0   9200.0   0.185  1.0
UGC8313      +13:11.6  +42:28.0   9200.0   0.033  1.0
NGC4485      +12:28.2  +41:58.0   9300.0   0.179  1.0
NGC5195      +13:27.9  +47:32.0   9300.0   0.832  1.0
UGC12588     +23:22.3  +41:04.0   9300.0   0.102  1.0
UGC1561      +02:01.3  +23:58.0   9300.0   0.033  1.0
NGC0891      +02:22.6  +42:20.8   9319.4   1.959  1.0
M95          +10:43.5  +11:42.1   9330.0   1.09  1.0 
NGC4258      +12:19.0  +47:18.2   9361.1   4.093  1.0
M66          +11:20.1  +12:59.2   9380.0   2.94  1.0 
ESO138-009   +16:58.0  -60:53.2   9388.9   0.050  1.0
NGC3104      +10:00.9  +41:00.0   9400.0   0.137  1.0
UGC891       +01:18.6  +12:09.0   9400.0   0.026  1.0
ESO373-007   +09:32.7  -33:14.7   9402.8   0.010  1.0
PGC018857    +06:21.0  -05:52.0   9402.8   0.092  1.0
PGC029990    +10:16.3  +41:10.0   9416.7   0.014  1.0
ESO119-016   +04:51.5  -61:39.0   9430.6   0.028  1.0
PGC041442    +12:31.4  +09:28.5   9430.6   0.001  1.0
ESO249-026   +03:54.2  -43:45.4   9444.4   0.030  1.0
PGC085925    +06:22.0  -07:54.5   9444.4   0.012  1.0
IC3652       +12:40.9  +11:11.0   9472.2   0.021  1.0
NGC1512      +04:02.3  -43:29.0   9500.0   0.631  1.0
IC5256       +22:49.7  -68:41.4   9569.4   0.046  1.0
PGC013449    +03:39.2  -35:22.3   9569.4   0.012  1.0
NGC4592      +12:36.7  -00:16.0   9600.0   0.391  1.0
NGC891       +02:19.3  +42:07.0   9600.0   1.500  1.0
PGC430731    +09:17.8  -53:21.7   9625.0   0.038  1.0
UGC01865     +02:25.0  +36:02.2   9638.9   0.043  1.0
PGC032348    +10:48.8  +14:07.4   9694.4   0.007  1.0
PGC042059    +12:36.5  +13:38.3   9694.4   0.004  1.0
