# This is the Macho population whereby we have adjusted the elliptical galaxies 
# luminosity by a factor of 10;
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	
NGC7640          	 +23:19.70 	 +40:34.00 	 8600.00 	 0.955 	 1.00 
UGC3475          	 +6:27.00 	 +39:31.00 	 8600.00 	 0.087 	 1.00 
ESO495-008       	 +8:21.00 	 -23:46.70 	 8638.90 	 0.016 	 1.00 
PGC712531        	 +3:39.00 	 -30:49.30 	 8680.60 	 0.001 	 1.00 
UGC05672         	 +10:28.30 	 +22:34.30 	 8680.60 	 0.029 	 1.00 
NGC3184          	 +10:15.20 	 +41:40.00 	 8700.00 	 0.847 	 1.00 
UGC4704          	 +8:55.80 	 +39:24.00 	 8700.00 	 0.039 	 1.00 
PGC091215        	 +12:36.90 	 +1:36.80 	 8708.30 	 0.011 	 1.00 
NGC1522          	 +4:6.10 	 -52:40.10 	 8736.10 	 0.028 	 1.00 
PGC005516        	 +1:28.70 	 +16:41.30 	 8736.10 	 0.029 	 1.00 
PGC169957        	 +1:36.50 	 +23:48.90 	 8750.00 	 0.002 	 1.00 
PGC083341        	 +10:47.40 	 +13:53.30 	 8791.70 	 0.002 	 1.00 
NGC4096          	 +12:3.50 	 +47:45.00 	 8800.00 	 0.887 	 1.00 
ESO302-014       	 +3:51.70 	 -38:27.20 	 8861.10 	 0.011 	 1.00 
IC4710           	 +18:23.50 	 -67:1.00 	 8900.00 	 0.215 	 1.00 
NGC1487          	 +3:54.10 	 -42:31.00 	 8900.00 	 0.174 	 1.00 
NGC1637          	 +4:38.90 	 -2:56.00 	 8900.00 	 0.334 	 1.00 
UGC7719          	 +12:31.50 	 +39:17.00 	 8900.00 	 0.020 	 1.00 
UGC7950          	 +12:44.60 	 +51:55.00 	 8900.00 	 0.012 	 1.00 
UGCA298          	 +12:44.30 	 +26:50.00 	 8900.00 	 0.180 	 1.00 
ESO179-013       	 +16:47.30 	 -57:26.50 	 8916.70 	 0.265 	 1.00 
PGC086265        	 +9:50.30 	 +31:27.30 	 8916.70 	 0.002 	 1.00 
PGC732721        	 +23:2.70 	 -29:9.10 	 8944.40 	 0.001 	 1.00 
PGC2791980       	 +9:45.40 	 -48:8.50 	 8972.20 	 0.016 	 1.00 
NGC2537          	 +8:9.70 	 +46:9.00 	 9000.00 	 0.175 	 1.00 
UGC5423          	 +10:1.40 	 +70:37.00 	 9000.00 	 0.016 	 1.00 
IC4870           	 +19:37.60 	 -65:48.70 	 9027.80 	 0.058 	 1.00 
ESO497-004       	 +9:3.00 	 -23:48.40 	 9041.70 	 0.033 	 1.00 
ESO359-029       	 +4:12.80 	 -33:0.10 	 9069.40 	 0.022 	 1.00 
PGC701288        	 +3:28.30 	 -31:46.20 	 9083.30 	 0.002 	 1.00 
NGC1058          	 +2:40.20 	 +37:8.00 	 9100.00 	 0.219 	 1.00 
NGC925           	 +2:27.10 	 +33:34.40 	 9120.00 	 1.200 	 1.00 
PGC1427448       	 +1:42.10 	 +13:17.60 	 9138.90 	 0.001 	 1.00 
UGC08061         	 +12:56.70 	 +11:55.90 	 9152.80 	 0.004 	 1.00 
ESO358-054       	 +3:43.00 	 -36:16.40 	 9166.70 	 0.039 	 1.00 
ESO270-017       	 +13:34.70 	 -45:32.80 	 9194.40 	 1.169 	 1.00 
IC3521           	 +12:34.60 	 +7:9.60 	 9194.40 	 0.052 	 1.00 
UGC12632         	 +23:27.60 	 +40:43.00 	 9200.00 	 0.185 	 1.00 
UGC8313          	 +13:11.60 	 +42:28.00 	 9200.00 	 0.033 	 1.00 
NGC4485          	 +12:28.20 	 +41:58.00 	 9300.00 	 0.179 	 1.00 
NGC5195          	 +13:27.90 	 +47:32.00 	 9300.00 	 0.832 	 1.00 
UGC12588         	 +23:22.30 	 +41:4.00 	 9300.00 	 0.102 	 1.00 
UGC1561          	 +2:1.30 	 +23:58.00 	 9300.00 	 0.033 	 1.00 
NGC0891          	 +2:22.60 	 +42:20.80 	 9319.40 	 1.959 	 1.00 
M95              	 +10:43.50 	 +11:42.10 	 9330.00 	 1.090 	 1.00 
NGC4258          	 +12:19.00 	 +47:18.20 	 9361.10 	 4.093 	 1.00 
M66              	 +11:20.10 	 +12:59.20 	 9380.00 	 2.940 	 1.00 
ESO138-009       	 +16:58.00 	 -60:53.20 	 9388.90 	 0.050 	 1.00 
NGC3104          	 +10:0.90 	 +41:0.00 	 9400.00 	 0.137 	 1.00 
UGC891           	 +1:18.60 	 +12:9.00 	 9400.00 	 0.026 	 1.00 
ESO373-007       	 +9:32.70 	 -33:14.70 	 9402.80 	 0.010 	 1.00 
PGC018857        	 +6:21.00 	 -5:52.00 	 9402.80 	 0.092 	 1.00 
PGC029990        	 +10:16.30 	 +41:10.00 	 9416.70 	 0.014 	 1.00 
ESO119-016       	 +4:51.50 	 -61:39.00 	 9430.60 	 0.028 	 1.00 
PGC041442        	 +12:31.40 	 +9:28.50 	 9430.60 	 0.001 	 1.00 
ESO249-026       	 +3:54.20 	 -43:45.40 	 9444.40 	 0.030 	 1.00 
PGC085925        	 +6:22.00 	 -7:54.50 	 9444.40 	 0.012 	 1.00 
IC3652           	 +12:40.90 	 +11:11.00 	 9472.20 	 0.210 	 1.00 
NGC1512          	 +4:2.30 	 -43:29.00 	 9500.00 	 0.631 	 1.00 
IC5256           	 +22:49.70 	 -68:41.40 	 9569.40 	 0.046 	 1.00 
PGC013449        	 +3:39.20 	 -35:22.30 	 9569.40 	 0.012 	 1.00 
NGC4592          	 +12:36.70 	 -0:16.00 	 9600.00 	 0.391 	 1.00 
NGC891           	 +2:19.30 	 +42:7.00 	 9600.00 	 1.500 	 1.00 
PGC430731        	 +9:17.80 	 -53:21.70 	 9625.00 	 0.038 	 1.00 
UGC01865         	 +2:25.00 	 +36:2.20 	 9638.90 	 0.043 	 1.00 
PGC032348        	 +10:48.80 	 +14:7.40 	 9694.40 	 0.007 	 1.00 
PGC042059        	 +12:36.50 	 +13:38.30 	 9694.40 	 0.040 	 1.00 
PGC142029        	 +3:6.60 	 -54:11.30 	 9694.40 	 0.003 	 1.00 
NGC4062          	 +12:1.50 	 +32:11.00 	 9700.00 	 0.316 	 1.00 
NGC4136          	 +12:6.70 	 +30:12.00 	 9700.00 	 0.305 	 1.00 
NGC4150          	 +12:8.00 	 +30:41.00 	 9700.00 	 0.153 	 1.00 
NGC4173          	 +12:9.80 	 +29:28.00 	 9700.00 	 0.160 	 1.00 
NGC4203          	 +12:12.60 	 +33:29.00 	 9700.00 	 3.500 	 1.00 
NGC4245          	 +12:15.10 	 +29:53.00 	 9700.00 	 0.194 	 1.00 
NGC4251          	 +12:15.60 	 +28:27.00 	 9700.00 	 0.356 	 1.00 
NGC4274          	 +12:17.40 	 +29:53.00 	 9700.00 	 0.759 	 1.00 
NGC4278          	 +12:17.60 	 +29:34.00 	 9700.00 	 5.250 	 1.00 
NGC4283          	 +12:17.80 	 +29:35.00 	 9700.00 	 1.000 	 1.00 
NGC4308          	 +12:19.40 	 +30:20.00 	 9700.00 	 0.330 	 1.00 
NGC4310          	 +12:19.90 	 +29:29.00 	 9700.00 	 0.111 	 1.00 
NGC4314          	 +12:20.10 	 +30:10.00 	 9700.00 	 0.449 	 1.00 
NGC4359          	 +12:21.60 	 +31:48.00 	 9700.00 	 0.146 	 1.00 
NGC4393          	 +12:23.30 	 +27:50.00 	 9700.00 	 0.160 	 1.00 
NGC4448          	 +12:25.80 	 +28:54.00 	 9700.00 	 0.366 	 1.00 
NGC4494          	 +12:28.90 	 +26:3.00 	 9700.00 	 7.660 	 1.00 
NGC4525          	 +12:31.30 	 +30:34.00 	 9700.00 	 0.160 	 1.00 
NGC4559          	 +12:33.50 	 +28:14.00 	 9700.00 	 1.660 	 1.00 
NGC4562          	 +12:33.10 	 +26:8.00 	 9700.00 	 0.064 	 1.00 
NGC4565          	 +12:33.80 	 +26:15.00 	 9700.00 	 2.128 	 1.00 
NGC628           	 +1:34.00 	 +15:32.00 	 9700.00 	 2.089 	 1.00 
UGCA294          	 +12:42.10 	 +28:45.00 	 9700.00 	 0.022 	 1.00 
PGC2321523       	 +8:12.70 	 +48:36.70 	 9708.30 	 0.001 	 1.00 
ESO495-021       	 +8:36.20 	 -26:24.50 	 9722.20 	 2.510 	 1.00 
PGC2277751       	 +10:35.20 	 +46:14.20 	 9722.20 	 0.001 	 1.00 
ESO565-001       	 +9:21.40 	 -22:30.00 	 9763.90 	 0.048 	 1.00 
ESO483-013       	 +4:12.70 	 -23:9.50 	 9777.80 	 0.420 	 1.00 
NGC4517          	 +12:30.20 	 +0:23.00 	 9800.00 	 1.057 	 1.00 
NGC4534          	 +12:31.70 	 +35:48.00 	 9800.00 	 0.196 	 1.00 
UGC1865          	 +2:21.90 	 +35:49.00 	 9800.00 	 0.048 	 1.00 
ESO362-009       	 +5:11.90 	 -32:58.30 	 9805.60 	 0.131 	 1.00 
