#This list contains the morphological galaxy types necessary to build the Macho population
#Cataloged by Ravi Kumar 
#File generated by Chad Hanna March 23 2006 
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	#TYPE
ESO358-060       	 +3:45.20 	 -35:34.20 	 7944.40 	 0.017 	 1.00 IrrB
PGC877092        	 +21:48.50 	 -17:48.70 	 7944.40 	 0.001 	 1.00 ---
NGC4020          	 +11:56.30 	 +30:41.00 	 8000.00 	 0.077 	 1.00 SBcd
NGC4288          	 +12:18.20 	 +46:35.00 	 8000.00 	 0.058 	 1.00 SBcd
NGC4707          	 +12:46.10 	 +51:26.00 	 8000.00 	 0.044 	 1.00 Sm
UGC5829          	 +10:39.80 	 +34:43.00 	 8000.00 	 0.037 	 1.00 Irr
ESO308-022       	 +6:39.50 	 -40:43.30 	 8013.90 	 0.006 	 1.00 Irr
NGC3239          	 +10:22.40 	 +17:25.00 	 8100.00 	 0.133 	 1.00 SBm
NGC3377          	 +10:45.10 	 +14:15.00 	 8100.00 	 4.090 	 1.00 E
NGC3379          	 +10:45.20 	 +12:51.00 	 8100.00 	 8.870 	 1.00 E
NGC3384          	 +10:45.60 	 +12:54.00 	 8100.00 	 4.830 	 1.00 E-S0
NGC3412          	 +10:48.30 	 +13:41.00 	 8100.00 	 0.281 	 1.00 S0
NGC4460          	 +12:26.40 	 +45:9.00 	 8100.00 	 0.121 	 1.00 S0-a
PGC170051        	 +3:41.00 	 -38:51.20 	 8138.90 	 0.010 	 1.00 ---
PGC041156        	 +12:29.30 	 +12:27.00 	 8194.40 	 0.060 	 1.00 E
NGC2337          	 +7:6.60 	 +44:32.00 	 8200.00 	 0.139 	 1.00 IrrB
NGC4625          	 +12:39.50 	 +41:33.00 	 8200.00 	 0.074 	 1.00 SABm
NGC7713          	 +23:33.60 	 -38:12.00 	 8200.00 	 0.377 	 1.00 Scd
UGC3174          	 +4:46.00 	 +0:9.00 	 8200.00 	 0.028 	 1.00 IrrAB
PGC170257        	 +13:29.30 	 -21:10.70 	 8250.00 	 0.140 	 1.00 E
NGC3985          	 +11:54.10 	 +48:36.00 	 8300.00 	 0.073 	 1.00 SBd
PGC019343        	 +6:38.00 	 -15:1.40 	 8319.40 	 0.158 	 1.00 SABd
IC3414           	 +12:29.50 	 +6:46.30 	 8333.30 	 0.039 	 1.00 Sd
PGC040588        	 +12:25.70 	 +14:57.20 	 8375.00 	 0.004 	 1.00 ---
IC5332           	 +23:31.80 	 -36:22.00 	 8400.00 	 0.373 	 1.00 SABc
NGC4687          	 +12:45.00 	 +35:38.00 	 8400.00 	 0.250 	 1.00 E
PGC018855        	 +6:20.90 	 -8:29.60 	 8486.10 	 1.472 	 1.00 Sc
ESO359-024       	 +4:10.90 	 -35:49.80 	 8527.80 	 0.013 	 1.00 Irr
PGC749455        	 +23:17.90 	 -27:49.10 	 8541.70 	 0.001 	 1.00 ---
PGC901638        	 +0:29.80 	 -16:9.90 	 8541.70 	 0.001 	 1.00 ---
ESO439-012       	 +11:29.10 	 -29:34.90 	 8555.60 	 0.004 	 1.00 Sa
IC2171           	 +6:44.50 	 -17:56.00 	 8569.40 	 0.172 	 1.00 SBm
NGC1291          	 +3:15.50 	 -41:19.00 	 8600.00 	 1.977 	 1.00 S0-a
NGC7640          	 +23:19.70 	 +40:34.00 	 8600.00 	 0.955 	 1.00 Sc
UGC3475          	 +6:27.00 	 +39:31.00 	 8600.00 	 0.087 	 1.00 Sm
ESO495-008       	 +8:21.00 	 -23:46.70 	 8638.90 	 0.016 	 1.00 Sc
PGC712531        	 +3:39.00 	 -30:49.30 	 8680.60 	 0.001 	 1.00 ---
UGC05672         	 +10:28.30 	 +22:34.30 	 8680.60 	 0.029 	 1.00 Sc
NGC3184          	 +10:15.20 	 +41:40.00 	 8700.00 	 0.847 	 1.00 SABc
UGC4704          	 +8:55.80 	 +39:24.00 	 8700.00 	 0.039 	 1.00 Sd
PGC091215        	 +12:36.90 	 +1:36.80 	 8708.30 	 0.011 	 1.00 Sm
NGC1522          	 +4:6.10 	 -52:40.10 	 8736.10 	 0.028 	 1.00 S0
PGC005516        	 +1:28.70 	 +16:41.30 	 8736.10 	 0.029 	 1.00 Irr
PGC169957        	 +1:36.50 	 +23:48.90 	 8750.00 	 0.002 	 1.00 ---
PGC083341        	 +10:47.40 	 +13:53.30 	 8791.70 	 0.002 	 1.00 Scd
NGC4096          	 +12:3.50 	 +47:45.00 	 8800.00 	 0.887 	 1.00 SABc
ESO302-014       	 +3:51.70 	 -38:27.20 	 8861.10 	 0.011 	 1.00 IrrB
IC4710           	 +18:23.50 	 -67:1.00 	 8900.00 	 0.215 	 1.00 Sm
NGC1487          	 +3:54.10 	 -42:31.00 	 8900.00 	 0.174 	 1.00 Scd
NGC1637          	 +4:38.90 	 -2:56.00 	 8900.00 	 0.334 	 1.00 Sc
UGC7719          	 +12:31.50 	 +39:17.00 	 8900.00 	 0.020 	 1.00 Sd
UGC7950          	 +12:44.60 	 +51:55.00 	 8900.00 	 0.012 	 1.00 Irr
UGCA298          	 +12:44.30 	 +26:50.00 	 8900.00 	 0.180 	 1.00 E-S0
ESO179-013       	 +16:47.30 	 -57:26.50 	 8916.70 	 0.265 	 1.00 SBm
PGC086265        	 +9:50.30 	 +31:27.30 	 8916.70 	 0.002 	 1.00 Irr
PGC732721        	 +23:2.70 	 -29:9.10 	 8944.40 	 0.001 	 1.00 ---
PGC2791980       	 +9:45.40 	 -48:8.50 	 8972.20 	 0.016 	 1.00 ---
NGC2537          	 +8:9.70 	 +46:9.00 	 9000.00 	 0.175 	 1.00 SBd
UGC5423          	 +10:1.40 	 +70:37.00 	 9000.00 	 0.016 	 1.00 Irr
IC4870           	 +19:37.60 	 -65:48.70 	 9027.80 	 0.058 	 1.00 IrrB
ESO497-004       	 +9:3.00 	 -23:48.40 	 9041.70 	 0.033 	 1.00 Sc
ESO359-029       	 +4:12.80 	 -33:0.10 	 9069.40 	 0.022 	 1.00 IrrB
PGC701288        	 +3:28.30 	 -31:46.20 	 9083.30 	 0.002 	 1.00 ---
NGC1058          	 +2:40.20 	 +37:8.00 	 9100.00 	 0.219 	 1.00 Sc
NGC925           	 +2:27.10 	 +33:34.40 	 9120.00 	 1.200 	 1.00 Scd
